"LINK CODE","ADVERTISER","LINK NAME","LINK ID","RETAIL PRICE","CATEGORY"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19781913462&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnest-new-york-lavender-clary-sage-misting-diffuser-oil"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840732121501-1.jpg?v=1654275243"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19781913462&type=2&subid=0"" >","Bluemercury, Inc.","Lavender & Clary Sage Misting Diffuser Oil","19781913462","32.0","Diffusers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19888944752&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fthe-light-salon-boost-led-collar"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060534510494-1.jpg?v=1654870757"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19888944752&type=2&subid=0"" >","Bluemercury, Inc.","Boost LED Collar","19888944752","250.0","Led Masks"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20063566698&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fphilip-kingsley-density-stimulating-scalp-toner"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060771201070-1.jpg?v=1654705215"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20063566698&type=2&subid=0"" >","Bluemercury, Inc.","Density Stimulating Scalp Toner","20063566698","30.0","Scalp Treatments"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20039364650&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Frevive-perfectif-even-skin-tone-collection"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-633222114745-1.jpg?v=1652815526"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20039364650&type=2&subid=0"" >","Bluemercury, Inc.","Perfectif Even Skin Tone Collection","20039364650","400.0","Skin Care Sets"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19530010170&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fbluemercury-fragrance-sampler-set-the-best-of-fruity-florals"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-195893602933-1.jpg?v=1654531549"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19530010170&type=2&subid=0"" >","Bluemercury, Inc.","Fragrance Sampler Set The Best of Fruity Florals","19530010170","38.0","Fragrance Sets"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19790842850&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnest-new-york-rattan-cedar-leaf-lavender-classic-candle"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840732122027-1.jpg?v=1654275368"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19790842850&type=2&subid=0"" >","Bluemercury, Inc.","Rattan Cedar Leaf & Lavender Classic Candle","19790842850","58.0","Candles"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19950002226&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Femilie-heathe-nail-artist-nail-polish"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-color-theperfectred-810033380006-1.jpg?v=1654202077"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19950002226&type=2&subid=0"" >","Bluemercury, Inc.","Nail Artist Nail Polish","19950002226","28.0","Nail Polish"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19888944736&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fdeborah-lippmann-inside-my-love-gel-lab-pro"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-691289207688-1.jpg?v=1654733411"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19888944736&type=2&subid=0"" >","Bluemercury, Inc.","Inside My Love Gel Lab Pro","19888944736","20.0","Nail Polish"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19701033026&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Ftom-ford-rose-de-russie"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-size-17oz50ml-888066130561-1.jpg?v=1654548469"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19701033026&type=2&subid=0"" >","Bluemercury, Inc.","Rose De Russie","19701033026","270.0","Cologne"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20039364664&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Frevive-microdermabrasion-renewal-set"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-633222109734-1.jpg?v=1652815551"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20039364664&type=2&subid=0"" >","Bluemercury, Inc.","Microdermabrasion Renewal Set","20039364664","295.0","Skin Care Sets"
