"LINK CODE","ADVERTISER","LINK NAME","LINK ID","RETAIL PRICE","CATEGORY"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415507882&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Flafco-amber-black-vanilla-and-foyer"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-727080002297-1.jpg?v=1654274663"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415507882&type=2&subid=0"" >","Bluemercury, Inc.","Amber Black Vanilla - Foyer Signature Candle","19415507882","70.0","Candles"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415507914&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Flafco-terracotta-signature-candle"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-727080238511-1.jpg?v=1654274787"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415507914&type=2&subid=0"" >","Bluemercury, Inc.","Terracotta - Terrace Signature Candle","19415507914","70.0","Candles"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415509960&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Flune-and-aster-eyeshadow-crease-brush"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-814309020900-1.jpg?v=1654531617"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415509960&type=2&subid=0"" >","Bluemercury, Inc.","Eyeshadow Crease Brush","19415509960","11.0","Sale"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415510024&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnest-fragrances-cedar-leaf-and-lavender-pura-smart-home-fragrance-diffuser-refills"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840732115692-1.jpg?v=1654274849"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415510024&type=2&subid=0"" >","Bluemercury, Inc.","Cedar Leaf & Lavender Pura Smart Home Fragrance Diffuser Refills","19415510024","36.0","Diffusers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415510032&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnest-fragrances-grapefruit-reed-diffuser-17"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840732105723-1.jpg?v=1654274757"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415510032&type=2&subid=0"" >","Bluemercury, Inc.","Grapefruit Reed Diffuser","19415510032","58.0","Diffusers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415508922&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnatura-bisse-diamond-extreme-oil"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-8436534717794-1.jpg?v=1654623689"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415508922&type=2&subid=0"" >","Bluemercury, Inc.","Diamond Extreme Oil","19415508922","175.0","Face Oils"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415508492&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fclarins-usa-instant-light-lip-balm-perfector"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-color-coral-3380814434213-1.jpg?v=1654546847"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415508492&type=2&subid=0"" >","Bluemercury, Inc.","Instant Light Lip Balm Perfector","19415508492","26.0","Lip Balms"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415507590&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fcosta-brazil-vela-jungle-candle"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-850003133317-1.jpg?v=1654274739"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415507590&type=2&subid=0"" >","Bluemercury, Inc.","VELA - Jungle Candle","19415507590","165.0","Candles"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415508236&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Ftocca-florence-10oz-candela-bergamot-and-gardenia"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-725490054639-1.jpg?v=1654274705"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415508236&type=2&subid=0"" >","Bluemercury, Inc.","Florence 10oz Candela - Bergamot & Gardenia","19415508236","42.0","Candles"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415508240&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Ftocca-kauai-candle"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-725490000834-1.jpg?v=1654274607"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415508240&type=2&subid=0"" >","Bluemercury, Inc.","Kauai Candle","19415508240","42.0","Candles"
