"LINK CODE","ADVERTISER","LINK NAME","LINK ID","RETAIL PRICE","CATEGORY"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806844&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Frodial-bronze-glowlighter"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060725472532-1.jpg?v=1655322884"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806844&type=2&subid=0"" >","Bluemercury, Inc.","Bronze Glowlighter","20113806844","45.0","Bronzers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806852&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fdermalogica-daily-milkfoliant"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-666151112773-1.jpg?v=1655329804"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806852&type=2&subid=0"" >","Bluemercury, Inc.","Daily Milkfoliant","20113806852","64.0","Exfoliators"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806872&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fosea-ocean-eyes-age-defying-eye-serum"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-675468101721-1.jpg?v=1655407518"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806872&type=2&subid=0"" >","Bluemercury, Inc.","Ocean Eyes Age-Defying Eye Serum","20113806872","60.0","Eye Serums"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806868&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fphilip-kingsley-density-healthy-hair-complex"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060771201100-1.jpg?v=1655405478"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806868&type=2&subid=0"" >","Bluemercury, Inc.","Density Healthy Hair Complex","20113806868","45.0","Supplements - Hair"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806854&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fvvardis-breath-highlighter-mouth-spray"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-color-beamingpetals-7649990366166-1.jpg?v=1655394199"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806854&type=2&subid=0"" >","Bluemercury, Inc.","Breath Highlighter Mouth Spray","20113806854","29.0","Mouth Rinse"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806836&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Foribe-valley-of-flowers-body-creme"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840035217703-1.jpg?v=1655323229"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806836&type=2&subid=0"" >","Bluemercury, Inc.","Valley of Flowers Body Creme","20113806836","65.0","Body Creams"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806818&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Foribe-signature-shampoo-refill-pouch"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-840035214689-1.jpg?v=1655234696"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806818&type=2&subid=0"" >","Bluemercury, Inc.","Signature Shampoo Refill Pouch","20113806818","132.0","Conditioners"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806832&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Ffancii-rivo"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-672468000948-1.jpg?v=1655299768"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806832&type=2&subid=0"" >","Bluemercury, Inc.","Rivo","20113806832","159.0","Facial Steamers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806814&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fliving-proof-restore-shampoo-spring-2022"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-size-24oz6804g-840216930544-1.jpg?v=1655232474"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806814&type=2&subid=0"" >","Bluemercury, Inc.","Restore Shampoo","20113806814","30.0","Shampoos"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.20113806816&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fliving-proof-restore-conditioner-1"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-size-24oz6804g-840216930551-1.jpg?v=1655232778"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.20113806816&type=2&subid=0"" >","Bluemercury, Inc.","Restore Conditioner","20113806816","30.0","Conditioners"
