"LINK CODE","ADVERTISER","LINK NAME","LINK ID","RETAIL PRICE","CATEGORY"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415512034&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fnatura-bisse-diamond-cocoon-daily-cleanse"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-8436568074979-1.jpg?v=1654625085"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415512034&type=2&subid=0"" >","Bluemercury, Inc.","Diamond Cocoon Daily Cleanse","19415512034","80.0","Cleansers"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415516296&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fdiptyque-tubereuse-indooroutdoor-candle"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-3700431406132-1.jpg?v=1654275080"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415516296&type=2&subid=0"" >","Bluemercury, Inc.","Tubereuse Indoor/Outdoor Candle","19415516296","355.0","Candles"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415512236&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fthis-works-super-sleep"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-876972004885-1.jpg?v=1654274789"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415512236&type=2&subid=0"" >","Bluemercury, Inc.","Super Sleep","19415512236","29.0","Linen Sprays"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415515374&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Frevive-perfectif-night-even-skin-tone-cream"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-633222209656-1.jpg?v=1654882621"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415515374&type=2&subid=0"" >","Bluemercury, Inc.","Perfectif Night Even Skin Tone Cream","19415515374","275.0","Night Creams"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415512078&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fphilip-kingsley-pk4-soya-protein-boost-nutritional-supplement"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060305124943-1.jpg?v=1654665305"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415512078&type=2&subid=0"" >","Bluemercury, Inc.","PK4 Soya Protein Boost","19415512078","45.0","Supplements - Hair"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415514670&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fshhhowercap-the-noir"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-856793006053-1.jpg?v=1654546471"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415514670&type=2&subid=0"" >","Bluemercury, Inc.","The Noir","19415514670","43.0","Shower Caps"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415511188&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fthe-beauty-chef-hydration-inner-beauty-boost"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-size-500ml-799439999053-1.jpg?v=1654548170"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415511188&type=2&subid=0"" >","Bluemercury, Inc.","Hydration Inner Beauty Boost","19415511188","50.0","Supplements - Skin Care"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415513378&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Facqua-di-parma-colonia-quercia-eau-de-cologne"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/variant_images-size-61oz-8028713240324-1.jpg?v=1654546538"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415513378&type=2&subid=0"" >","Bluemercury, Inc.","Colonia Quercia Eau De Cologne","19415513378","305.0","Cologne"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415516260&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Fthis-works-stress-check-breathe-out"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-876972009668-1.jpg?v=1654275011"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415516260&type=2&subid=0"" >","Bluemercury, Inc.","stress check breathe out","19415516260","27.0","Essential Oils"
"<a href=""https://click.linksynergy.com/link?id=DEoPybET1Dw&offerid=1051525.19415516498&type=2&murl=https%3A%2F%2Fbluemercury.com%2Fproducts%2Ffornasetti-architettura"" rel=""nofollow""><IMG border=0 src=""https://cdn.shopify.com/s/files/1/0283/0185/2747/products/global_images-5060244570047-1.jpg?v=1654275051"" ></a><IMG border=0 width=1 height=1 src=""https://ad.linksynergy.com/fs-bin/show?id=DEoPybET1Dw&bids=1051525.19415516498&type=2&subid=0"" >","Bluemercury, Inc.","Architettura Scented Candle","19415516498","215.0","Candles"
